date,year,month,repo_id,report_url,list_location,detected_point,fish_raw,fish_normalized,size_cm,weight_kg,method,is_night_fishing,evidence_text,confidence
2021-12-22,2021,12,iso_repo393,https://portside-t.com/iso/iso_repo393.htm,南伊豆地磯,南伊豆地磯,イスズミ,イスズミ,,,磯釣り、フカセ,true,メジナ、イスズミ、フエダイ、カサゴ、,low
2021-12-22,2021,12,iso_repo393,https://portside-t.com/iso/iso_repo393.htm,南伊豆地磯,南伊豆地磯,フエダイ,シブダイ系,,,磯釣り、フカセ,true,メジナ、イスズミ、フエダイ、カサゴ、,low
2021-12-22,2021,12,iso_repo393,https://portside-t.com/iso/iso_repo393.htm,南伊豆地磯,南伊豆地磯,カサゴ,カサゴ,,,磯釣り、フカセ,true,メジナ、イスズミ、フエダイ、カサゴ、,low
2021-12-22,2021,12,iso_repo393,https://portside-t.com/iso/iso_repo393.htm,南伊豆地磯,南伊豆地磯,タカノハダイ,タカノハダイ,,,磯釣り、フカセ,true,タカノハダイ、シュウサイフグ,low
2021-12-22,2021,12,iso_repo393,https://portside-t.com/iso/iso_repo393.htm,南伊豆地磯,南伊豆地磯,シュウサイフグ,フグ類,,,磯釣り、フカセ,true,タカノハダイ、シュウサイフグ,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,イサキ,イサキ,,,夜釣り、磯釣り、フカセ,true,イサキ、フエフキダイ、フエダイ、ソイ、,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,フエフキダイ,フエフキダイ,,,夜釣り、磯釣り、フカセ,true,イサキ、フエフキダイ、フエダイ、ソイ、,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,フエダイ,シブダイ系,,,夜釣り、磯釣り、フカセ,true,イサキ、フエフキダイ、フエダイ、ソイ、,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,ソイ,ムラソイ,,,夜釣り、磯釣り、フカセ,true,イサキ、フエフキダイ、フエダイ、ソイ、,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,ブダイ,ブダイ,,,夜釣り、磯釣り、フカセ,true,ブダイ、サバ、エイ、ハタンポ、クサフグ,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,サバ,サバ,,,夜釣り、磯釣り、フカセ,true,ブダイ、サバ、エイ、ハタンポ、クサフグ,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,エイ,エイ,,,夜釣り、磯釣り、フカセ,true,ブダイ、サバ、エイ、ハタンポ、クサフグ,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,ハタンポ,ハタンポ,,,夜釣り、磯釣り、フカセ,true,ブダイ、サバ、エイ、ハタンポ、クサフグ,low
2022-06-04,2022,6,iso_repo405,https://portside-t.com/iso/iso_repo405.htm,南伊豆地磯,南伊豆地磯,クサフグ,フグ類,,,夜釣り、磯釣り、フカセ,true,ブダイ、サバ、エイ、ハタンポ、クサフグ,low
2023-06-21,2023,6,iso_repo434,https://portside-t.com/iso/iso_repo434.htm,伊豆南地磯,伊豆南地磯,フエフキダイ,フエフキダイ,,,磯釣り,true,フエフキダイ、イサキ、フエダイ、,low
2023-06-21,2023,6,iso_repo434,https://portside-t.com/iso/iso_repo434.htm,伊豆南地磯,伊豆南地磯,イサキ,イサキ,,,磯釣り,true,フエフキダイ、イサキ、フエダイ、,low
2023-06-21,2023,6,iso_repo434,https://portside-t.com/iso/iso_repo434.htm,伊豆南地磯,伊豆南地磯,フエダイ,シブダイ系,,,磯釣り,true,フエフキダイ、イサキ、フエダイ、,low
2023-06-21,2023,6,iso_repo434,https://portside-t.com/iso/iso_repo434.htm,伊豆南地磯,伊豆南地磯,タカノハダイ,タカノハダイ,,,磯釣り,true,タカノハダイ、ショウサイフグ、クサフグ,low
2023-06-21,2023,6,iso_repo434,https://portside-t.com/iso/iso_repo434.htm,伊豆南地磯,伊豆南地磯,ショウサイフグ,フグ類,,,磯釣り,true,タカノハダイ、ショウサイフグ、クサフグ,low
2023-06-21,2023,6,iso_repo434,https://portside-t.com/iso/iso_repo434.htm,伊豆南地磯,伊豆南地磯,クサフグ,フグ類,,,磯釣り,true,タカノハダイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,メジナ,メジナ,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,カマス,カマス,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,フエフキダイ,フエフキダイ,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,アイゴ,アイゴ,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,タカノハダイ,タカノハダイ,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,イサキ,イサキ,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,シブダイ(フエダイ),シブダイ系,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,ムラソイ,ムラソイ,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,ショウサイフグ,フグ類,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-02,2023,7,iso_repo435,https://portside-t.com/iso/iso_repo435.htm,伊豆南地磯,伊豆南地磯,クサフグ,フグ類,,,磯釣り,true,メジナ、カマス、フエフキダイ、アイゴ、タカノハダイ、イサキ、フエダイ、ムラソイ、ショウサイフグ、クサフグ,low
2023-07-15,2023,7,iso_repo436,https://portside-t.com/iso/iso_repo436.htm,伊豆南堤防,伊豆南堤防,メジナ,メジナ,,,夜釣り、磯釣り,true,メジナ、シマアジ、シブダイ、ウツボ、ショウサイフグ、クサフグ,low
2023-07-15,2023,7,iso_repo436,https://portside-t.com/iso/iso_repo436.htm,伊豆南堤防,伊豆南堤防,シマアジ,シマアジ,,,夜釣り、磯釣り,true,メジナ、シマアジ、シブダイ、ウツボ、ショウサイフグ、クサフグ,low
2023-07-15,2023,7,iso_repo436,https://portside-t.com/iso/iso_repo436.htm,伊豆南堤防,伊豆南堤防,シブダイ(フエダイ),シブダイ系,,,夜釣り、磯釣り,true,メジナ、シマアジ、シブダイ、ウツボ、ショウサイフグ、クサフグ,low
2023-07-15,2023,7,iso_repo436,https://portside-t.com/iso/iso_repo436.htm,伊豆南堤防,伊豆南堤防,ウツボ,ウツボ,,,夜釣り、磯釣り,true,メジナ、シマアジ、シブダイ、ウツボ、ショウサイフグ、クサフグ,low
2023-07-15,2023,7,iso_repo436,https://portside-t.com/iso/iso_repo436.htm,伊豆南堤防,伊豆南堤防,ショウサイフグ,フグ類,,,夜釣り、磯釣り,true,メジナ、シマアジ、シブダイ、ウツボ、ショウサイフグ、クサフグ,low
2023-07-15,2023,7,iso_repo436,https://portside-t.com/iso/iso_repo436.htm,伊豆南堤防,伊豆南堤防,クサフグ,フグ類,,,夜釣り、磯釣り,true,メジナ、シマアジ、シブダイ、ウツボ、ショウサイフグ、クサフグ,low
